order_id,order_date,customer_id,customer_name,country,product_category,product_name,quantity,unit_price,discount_pct,revenue,is_returned
1027,2023-03-22,C055,Emma Bauer,Germany,Home & Garden,Air Purifier,2,199.00,10.0,358.20,False
1028,2023-03-25,C042,Alice Martin,France,Electronics,Wireless Headphones,1,249.00,0.0,249.00,False
1029,2023-03-28,C017,Bob Dupont,Belgium,Clothing,Winter Jacket,3,89.95,5.0,256.36,False
1030,2023-03-31,C089,Clara Schmidt,Germany,Electronics,Smartphone X12,1,899.00,10.0,809.10,True
1031,2023-04-03,C031,David Leclerc,France,Books,Python Crash Course,2,39.99,0.0,79.98,False
1032,2023-04-06,C073,Grace Kim,Spain,Electronics,Smart Watch V2,1,329.00,0.0,329.00,False
1033,2023-04-09,C099,Hank Torres,Spain,Clothing,Running Shoes,1,119.00,0.0,119.00,False
1034,2023-04-12,C041,Ivy Nguyen,France,Home & Garden,Coffee Maker,1,79.99,0.0,79.99,False
1035,2023-04-15,C012,Frank Rossi,Italy,Electronics,Tablet S8,2,499.00,5.0,948.10,False
1036,2023-04-18,C055,Emma Bauer,Germany,Books,Data Science Handbook,2,45.00,0.0,90.00,False
1037,2023-04-21,C042,Alice Martin,France,Electronics,Laptop Pro 15,1,1299.99,5.0,1234.99,False
1038,2023-04-24,C017,Bob Dupont,Belgium,Home & Garden,Robot Vacuum,1,349.00,0.0,349.00,True
1039,2023-04-27,C089,Clara Schmidt,Germany,Clothing,Denim Jeans,2,69.99,10.0,125.98,False
1040,2023-04-30,C031,David Leclerc,France,Electronics,Wireless Headphones,1,249.00,15.0,211.65,False
1041,2023-05-03,C073,Grace Kim,Spain,Books,Machine Learning A-Z,1,55.00,0.0,55.00,False
1042,2023-05-06,C099,Hank Torres,Spain,Electronics,Smartphone X12,2,899.00,0.0,1798.00,False
1043,2023-05-09,C041,Ivy Nguyen,France,Home & Garden,Air Purifier,1,199.00,5.0,189.05,False
1044,2023-05-12,C012,Frank Rossi,Italy,Clothing,Winter Jacket,1,89.95,0.0,89.95,False
1045,2023-05-15,C055,Emma Bauer,Germany,Electronics,Smart Watch V2,1,329.00,10.0,296.10,False
1046,2023-05-18,C042,Alice Martin,France,Books,Python Crash Course,4,39.99,0.0,159.96,False
1047,2023-05-21,,Unknown,Germany,Electronics,Laptop Pro 15,1,1299.99,0.0,1299.99,False
1048,2023-05-24,C017,Bob Dupont,Belgium,Clothing,Running Shoes,2,119.00,0.0,238.00,False
1049,2023-05-27,C089,Clara Schmidt,Germany,Home & Garden,Coffee Maker,2,79.99,5.0,151.98,False
1050,2023-05-30,C031,David Leclerc,France,Electronics,Tablet S8,1,499.00,0.0,499.00,False
1051,2023-06-02,C073,Grace Kim,Spain,Clothing,Denim Jeans,3,69.99,0.0,209.97,False
1052,2023-06-05,C099,Hank Torres,Spain,Electronics,Wireless Headphones,1,249.00,5.0,236.55,False
1053,2023-06-08,C041,Ivy Nguyen,France,Home & Garden,Robot Vacuum,1,349.00,0.0,349.00,False
1054,2023-06-11,C012,Frank Rossi,Italy,Books,Data Science Handbook,1,45.00,0.0,45.00,False
1055,2023-06-14,C055,Emma Bauer,Germany,Electronics,Smartphone X12,1,899.00,0.0,899.00,False
1056,2023-06-17,C042,Alice Martin,France,Clothing,Winter Jacket,2,89.95,10.0,161.91,False
1057,2023-06-20,C017,Bob Dupont,Belgium,Electronics,Smart Watch V2,2,329.00,5.0,625.10,False
1058,2023-06-23,C089,Clara Schmidt,Germany,Books,Python Crash Course,1,39.99,0.0,39.99,False
1059,2023-06-26,C031,David Leclerc,France,Electronics,Laptop Pro 15,1,1299.99,15.0,1104.99,False
1060,2023-06-29,C073,Grace Kim,Spain,Home & Garden,Air Purifier,1,199.00,0.0,199.00,True
